PREGUNTA,RESPUESTA,FECHA
que dice el articulo 186?,"**Artículo 186º**: Al respecto, cabe señalar que el artículo 10 de la Ley Nº 19.419, establece que se prohíbe fumar en los siguientes lugares:
a) Todo espacio cerrado que sea un lugar accesible al público o de uso comercial colectivo, independientemente de quien sea el propietario o de quien tenga derecho de acceso a ellos;
b) Espacios cerrados o abiertos, públicos o privados, que correspondan a dependencias de: (i) Establecimientos de educación parvularia, básica y media; (ii) Recintos donde se expendan combustibles; (iii) Aquellos lugares en que se fabriquen, procesen, depositen o manipulen explosivos, materiales inflamables, medicamentos o alimentos; (iv) En las galerías, tribunas y otras aposentadurías destinadas al público en los recintos deportivos, gimnasios o estadios. Esta prohibición se extiende a la cancha y a toda el área comprendida en el perímetro conformado por dichas galerías, tribunas y aposentadurías, salvo en los lugares especialmente habilitados para fumar que podrán tener los mencionados recintos; y, (v) Medios de transporte de uso público o colectivo, incluyendo ascensores.

Asimismo, el Artículo 11 de la misma Ley N°19.419, dispone que se prohíbe fumar en los siguientes lugares, salvo en sus patios o espacios al aire libre: (i) establecimientos de educación superior, públicos y privados; (b) aeropuertos y terrapuertos; (c) teatros y cines; (d) centros de atención o de prestación de servicios abiertos al público en general; (e) supermercados, centros comerciales y demás establecimientos similares de libre acceso al público; (f) establecimientos de salud, públicos y privados, exceptuándose los hospitales de internación psiquiátrica que no cuenten con espacios al aire libre o cuyos pacientes no puedan acceder a ellos; (g) dependencias de órganos del Estado, y, (h) pubs, restaurantes, discotecas y casinos de juego.

Indica el mismo artículo que se deberán habilitar, en los patios o espacios al aire libre, cuando ellos existan, lugares especiales para fumadores en los casos indicados en las letras f) y g) del inciso anterior. Para dicho efecto, el director del establecimiento o el administrador general del mismo será responsable de establecer un área claramente delimitada, procurando siempre que el humo de tabaco que se genere no alcance las dependencias internas de los establecimientos de que se trate. Con todo, siempre el director del establecimiento o su administrador general podrá determinar que se prohíba fumar en lugares abiertos de los establecimientos que dirija o administre.",2025-01-03 11:41:47
Haz un resumen del reglamento,No sé.,2025-01-03 11:51:40
hazme un resumen de los puntos mas importantes,"El reglamento interno de Comercial de Valores Inversiones SpA establece lo siguiente:

1. **Compromiso con un ambiente seguro**: La empresa está comprometida en proporcionar un ambiente de trabajo seguro, inclusivo y respetuoso, abordando eficazmente cualquier forma de acoso laboral, acoso sexual o violencia en el trabajo.

2. **Procedimiento de denuncia**: Se ha diseñado un procedimiento de denuncia para asegurar que todas las denuncias sean manejadas con seriedad, confidencialidad y profesionalismo, con el objetivo de resolver problemas y prevenir futuros incidentes.

3. **Responsabilidad penal de la empresa**: De acuerdo con la Ley N°20.393, las empresas responden penalmente por delitos cometidos en su interés por sus representantes y quienes realicen actividades de administración.

4. **Obligaciones de higiene y seguridad**: La empresa debe mantener al día los reglamentos internos de higiene y seguridad, y los trabajadores deben cumplir con las exigencias de dichos reglamentos.

5. **Registro de asistencia**: Los trabajadores deben registrar su asistencia de manera personal e indelegable, y los atrasos reiterados constituyen falta grave.

6. **Medidas de resguardo durante investigaciones**: Durante la investigación de denuncias, se pueden adoptar medidas de resguardo y se proporcionará atención psicológica temprana al denunciante.

7. **Revisión de medidas por la Dirección del Trabajo**: La Dirección del Trabajo puede revisar y solicitar modificaciones a las medidas de resguardo adoptadas para proteger la vida y salud de los participantes en el procedimiento.",2025-01-03 11:52:00
que dice el articulo 186g?,No sé.,2025-01-03 11:56:28
hola¡,"Hola, ¿en qué puedo ayudarte?",2025-01-03 11:57:30
Hola,"No tengo información específica sobre saludos o interacciones generales. Si tienes alguna pregunta relacionada con el reglamento interno, estaré encantado de ayudarte.",2025-01-03 12:04:42
En que reglamento se menciona algo sobre el trabajo remoto,"En relación a los trabajadores acogidos a la modalidad de trabajo a distancia o teletrabajo, el Empleador deberá ceñirse a las condiciones específicas de seguridad y salud a que deben sujetarse los trabajadores regidos por esta normativa se encuentran reguladas en el Reglamento Nº18 del Ministerio del Trabajo y Previsión Social, publicado en el Diario Oficial con fecha 3 de julio de 2020.",2025-01-03 12:39:07
En que reglamento se menciona algo sobre el trabajo remoto,"En relación a los trabajadores acogidos a la modalidad de trabajo a distancia o teletrabajo, el Empleador deberá ceñirse a las condiciones específicas de seguridad y salud a que deben sujetarse los trabajadores regidos por esta normativa se encuentran reguladas en el Reglamento Nº18 del Ministerio del Trabajo y Previsión Social, publicado en el Diario Oficial con fecha 3 de julio de 2020.",2025-01-03 12:39:35
Hola,"No tengo información específica sobre saludos o interacciones informales en el reglamento interno. Si tienes alguna pregunta relacionada con el contenido del reglamento, estaré encantado de ayudarte.",2025-01-03 12:39:38
Hola,"No tengo información específica sobre saludos o interacciones generales. Si tienes una pregunta relacionada con el reglamento interno, estaré encantado de ayudarte.",2025-01-03 12:40:18
hola,No sé cómo responder a eso.,2025-01-03 12:40:29
En que reglamento se menciona algo sobre el trabajo remoto,"En relación a los trabajadores acogidos a la modalidad de trabajo a distancia o teletrabajo, el Empleador deberá ceñirse a las condiciones específicas de seguridad y salud a que deben sujetarse los trabajadores regidos por esta normativa se encuentran reguladas en el Reglamento Nº18 del Ministerio del Trabajo y Previsión Social, publicado en el Diario Oficial con fecha 3 de julio de 2020.",2025-01-03 12:40:34
"A lo anterior, en que articulo se encuentra","La consulta del usuario se refiere a la información sobre el reglamento interno. Sin embargo, no se especifica a qué ""anterior"" se refiere. Por lo tanto, no puedo proporcionar una respuesta literal y textual sin más contexto. Si puedes especificar a qué parte del reglamento te refieres, estaré encantado de ayudarte.",2025-01-03 12:41:15
en que articulo se menciona lo de la modalidad remota,La modalidad de trabajo a distancia o teletrabajo se menciona en el Artículo 132º y el Artículo 131º del reglamento.,2025-01-03 12:41:39
que dice el articulo 23?,"**Artículo 23º**  
El actual registro de asistencia del Empleador considera dos formas de marcaje y reconocimiento del trabajador. En las dependencias de la Empresa, el marcaje debe realizarse en un dispositivo de control de asistencia instalado en dichas dependencias. En los casos en que el trabajador presta sus servicios en modalidad de teletrabajo, el marcaje puede realizarse mediante el uso de una aplicación instalada en el teléfono móvil proporcionado por la empresa al trabajador o por vía web.  
En caso de que, por cualquier motivo, no fuese posible aplicar dicha forma de marcaje y/o reconocimiento, la forma secundaria de identificación del trabajador para efectuar el registro, será el envío de un correo electrónico por parte de éste al área de Administración y Finanzas para que le asistan con el marcaje.  
Para que el sistema de registro de asistencia envíe a los trabajadores respaldos de sus marcajes, el trabajador respectivo deberá informar un correo electrónico personal, el cual podrá ser modificado por éste, mediante solicitud efectuada en la aplicación o cuenta del trabajador en el sistema de registro de asistencia.  
Si el trabajador no designare un correo electrónico, el sistema podrá crearle una para estos efectos, el que siempre deberá corresponder a plataformas gratuitas y abiertas, tales como; Gmail, Yahoo!, etc.  
En este caso, el trabajador siempre podrá requerir posteriormente que se reemplace esta cuenta por una entregada por él. La entrega de esta cuenta de correo, así como la recepción de las credenciales de acceso por parte del trabajador deben constar por escrito en el contrato de trabajo o un anexo al mismo.  
En caso de término de la relación laboral, dentro de un plazo de 120 días desde dicho término, este correo electrónico será eliminado de los registros del Empleador, como, asimismo, cualquier otro dato de carácter personal del trabajador, diverso de aquellos requeridos en el artículo 10 del Código del Trabajo (por ejemplo, huella digital, número telefónico personal del trabajador, etc).",2025-01-03 13:19:58
que dice el articuo 186?,"**Artículo 186º**: Al respecto, cabe señalar que el artículo 10 de la Ley Nº 19.419, establece que se prohíbe fumar en los siguientes lugares:
a) Todo espacio cerrado que sea un lugar accesible al público o de uso comercial colectivo, independientemente de quien sea el propietario o de quien tenga derecho de acceso a ellos;
b) Espacios cerrados o abiertos, públicos o privados, que correspondan a dependencias de: (i) Establecimientos de educación parvularia, básica y media; (ii) Recintos donde se expendan combustibles; (iii) Aquellos lugares en que se fabriquen, procesen, depositen o manipulen explosivos, materiales inflamables, medicamentos o alimentos; (iv) En las galerías, tribunas y otras aposentadurías destinadas al público en los recintos deportivos, gimnasios o estadios. Esta prohibición se extiende a la cancha y a toda el área comprendida en el perímetro conformado por dichas galerías, tribunas y aposentadurías, salvo en los lugares especialmente habilitados para fumar que podrán tener los mencionados recintos; y, (v) Medios de transporte de uso público o colectivo, incluyendo ascensores.

Asimismo, el Artículo 11 de la misma Ley N°19.419, dispone que se prohíbe fumar en los siguientes lugares, salvo en sus patios o espacios al aire libre: (i) establecimientos de educación superior, públicos y privados; (b) aeropuertos y terrapuertos; (c) teatros y cines; (d) centros de atención o de prestación de servicios abiertos al público en general; (e) supermercados, centros comerciales y demás establecimientos similares de libre acceso al público; (f) establecimientos de salud, públicos y privados, exceptuándose los hospitales de internación psiquiátrica que no cuenten con espacios al aire libre o cuyos pacientes no puedan acceder a ellos; (g) dependencias de órganos del Estado, y, (h) pubs, restaurantes, discotecas y casinos de juego.

Indica el mismo artículo que se deberán habilitar, en los patios o espacios al aire libre, cuando ellos existan, lugares especiales para fumadores en los casos indicados en las letras f) y g) del inciso anterior. Para dicho efecto, el director del establecimiento o el administrador general del mismo será responsable de establecer un área claramente delimitada, procurando siempre que el humo de tabaco que se genere no alcance las dependencias internas de los establecimientos de que se trate. Con todo, siempre el director del establecimiento o su administrador general podrá determinar que se prohíba fumar en lugares abiertos de los establecimientos que dirija o administre.",2025-01-03 13:20:50
que articulo me mencionaste anteriormente?,El artículo mencionado anteriormente es el Artículo 104º.,2025-01-03 13:21:27
que dice el articulo 186?,"**Artículo 186º**: Al respecto, cabe señalar que el artículo 10 de la Ley Nº 19.419, establece que se prohíbe fumar en los siguientes lugares:
a) Todo espacio cerrado que sea un lugar accesible al público o de uso comercial colectivo, independientemente de quien sea el propietario o de quien tenga derecho de acceso a ellos;
b) Espacios cerrados o abiertos, públicos o privados, que correspondan a dependencias de: (i) Establecimientos de educación parvularia, básica y media; (ii) Recintos donde se expendan combustibles; (iii) Aquellos lugares en que se fabriquen, procesen, depositen o manipulen explosivos, materiales inflamables, medicamentos o alimentos; (iv) En las galerías, tribunas y otras aposentadurías destinadas al público en los recintos deportivos, gimnasios o estadios. Esta prohibición se extiende a la cancha y a toda el área comprendida en el perímetro conformado por dichas galerías, tribunas y aposentadurías, salvo en los lugares especialmente habilitados para fumar que podrán tener los mencionados recintos; y, (v) Medios de transporte de uso público o colectivo, incluyendo ascensores.

Asimismo, el Artículo 11 de la misma Ley N°19.419, dispone que se prohíbe fumar en los siguientes lugares, salvo en sus patios o espacios al aire libre: (i) establecimientos de educación superior, públicos y privados; (b) aeropuertos y terrapuertos; (c) teatros y cines; (d) centros de atención o de prestación de servicios abiertos al público en general; (e) supermercados, centros comerciales y demás establecimientos similares de libre acceso al público; (f) establecimientos de salud, públicos y privados, exceptuándose los hospitales de internación psiquiátrica que no cuenten con espacios al aire libre o cuyos pacientes no puedan acceder a ellos; (g) dependencias de órganos del Estado, y, (h) pubs, restaurantes, discotecas y casinos de juego. Indica el mismo artículo que se deberán habilitar, en los patios o espacios al aire libre, cuando ellos existan, lugares especiales para fumadores en los casos indicados en las letras f) y g) del inciso anterior. Para dicho efecto, el director del establecimiento o el administrador general del mismo será responsable de establecer un área claramente delimitada, procurando siempre que el humo de tabaco que se genere no alcance las dependencias internas de los establecimientos de que se trate. Con todo, siempre el director del establecimiento o su administrador general podrá determinar que se prohíba fumar en lugares abiertos de los establecimientos que dirija o administre.",2025-01-03 13:40:45
que dice el articulo 186?,"**Artículo 186º**: Al respecto, cabe señalar que el artículo 10 de la Ley Nº 19.419, establece que se prohíbe fumar en los siguientes lugares:  
a) Todo espacio cerrado que sea un lugar accesible al público o de uso comercial colectivo, independientemente de quien sea el propietario o de quien tenga derecho de acceso a ellos;  
b) Espacios cerrados o abiertos, públicos o privados, que correspondan a dependencias de: (i) Establecimientos de educación parvularia, básica y media; (ii) Recintos donde se expendan combustibles; (iii) Aquellos lugares en que se fabriquen, procesen, depositen o manipulen explosivos, materiales inflamables, medicamentos o alimentos; (iv) En las galerías, tribunas y otras aposentadurías destinadas al público en los recintos deportivos, gimnasios o estadios. Esta prohibición se extiende a la cancha y a toda el área comprendida en el perímetro conformado por dichas galerías, tribunas y aposentadurías, salvo en los lugares especialmente habilitados para fumar que podrán tener los mencionados recintos; y, (v) Medios de transporte de uso público o colectivo, incluyendo ascensores.  
Asimismo, el Artículo 11 de la misma Ley N°19.419, dispone que se prohíbe fumar en los siguientes lugares, salvo en sus patios o espacios al aire libre: (i) establecimientos de educación superior, públicos y privados; (b) aeropuertos y terrapuertos; (c) teatros y cines; (d) centros de atención o de prestación de servicios abiertos al público en general; (e) supermercados, centros comerciales y demás establecimientos similares de libre acceso al público; (f) establecimientos de salud, públicos y privados, exceptuándose los hospitales de internación psiquiátrica que no cuenten con espacios al aire libre o cuyos pacientes no puedan acceder a ellos; (g) dependencias de órganos del Estado, y, (h) pubs, restaurantes, discotecas y casinos de juego.  
Indica el mismo artículo que se deberán habilitar, en los patios o espacios al aire libre, cuando ellos existan, lugares especiales para fumadores en los casos indicados en las letras f) y g) del inciso anterior. Para dicho efecto, el director del establecimiento o el administrador general del mismo será responsable de establecer un área claramente delimitada, procurando siempre que el humo de tabaco que se genere no alcance las dependencias internas de los establecimientos de que se trate. Con todo, siempre el director del establecimiento o su administrador general podrá determinar que se prohíba fumar en lugares abiertos de los establecimientos que dirija o administre.",2025-01-03 13:42:07
que dice el articulo 186?,"¡Hola! El **Artículo 186º** establece que se prohíbe fumar en los siguientes lugares:

a) Todo espacio cerrado que sea un lugar accesible al público o de uso comercial colectivo, independientemente de quien sea el propietario o de quien tenga derecho de acceso a ellos;

b) Espacios cerrados o abiertos, públicos o privados, que correspondan a dependencias de: 
(i) Establecimientos de educación parvularia, básica y media; 
(ii) Recintos donde se expendan combustibles; 
(iii) Aquellos lugares en que se fabriquen, procesen, depositen o manipulen explosivos, materiales inflamables, medicamentos o alimentos; 
(iv) En las galerías, tribunas y otras aposentadurías destinadas al público en los recintos deportivos, gimnasios o estadios. Esta prohibición se extiende a la cancha y a toda el área comprendida en el perímetro conformado por dichas galerías, tribunas y aposentadurías, salvo en los lugares especialmente habilitados para fumar que podrán tener los mencionados recintos; y, 
(v) Medios de transporte de uso público o colectivo, incluyendo ascensores.

Asimismo, el Artículo 11 de la misma Ley N°19.419, dispone que se prohíbe fumar en los siguientes lugares, salvo en sus patios o espacios al aire libre: 
(i) establecimientos de educación superior, públicos y privados; 
(b) aeropuertos y terrapuertos; 
(c) teatros y cines; 
(d) centros de atención o de prestación de servicios abiertos al público en general; 
(e) supermercados, centros comerciales y demás establecimientos similares de libre acceso al público; 
(f) establecimientos de salud, públicos y privados, exceptuándose los hospitales de internación psiquiátrica que no cuenten con espacios al aire libre o cuyos pacientes no puedan acceder a ellos; 
(g) dependencias de órganos del Estado, y, 
(h) pubs, restaurantes, discotecas y casinos de juego.

Indica el mismo artículo que se deberán habilitar, en los patios o espacios al aire libre, cuando ellos existan, lugares especiales para fumadores en los casos indicados en las letras f) y g) del inciso anterior.

Si tienes alguna duda adicional, no dudes en preguntar. Te recomiendo revisar el reglamento RIOHS para más información.",2025-01-03 13:48:36
que dice el articulo 186?,"¡Hola! El **Artículo 186º** establece que se prohíbe fumar en los siguientes lugares:

a) Todo espacio cerrado que sea un lugar accesible al público o de uso comercial colectivo, independientemente de quien sea el propietario o de quien tenga derecho de acceso a ellos;

b) Espacios cerrados o abiertos, públicos o privados, que correspondan a dependencias de:
   - (i) Establecimientos de educación parvularia, básica y media;
   - (ii) Recintos donde se expendan combustibles;
   - (iii) Aquellos lugares en que se fabriquen, procesen, depositen o manipulen explosivos, materiales inflamables, medicamentos o alimentos;
   - (iv) En las galerías, tribunas y otras aposentadurías destinadas al público en los recintos deportivos, gimnasios o estadios. Esta prohibición se extiende a la cancha y a toda el área comprendida en el perímetro conformado por dichas galerías, tribunas y aposentadurías, salvo en los lugares especialmente habilitados para fumar que podrán tener los mencionados recintos; y,
   - (v) Medios de transporte de uso público o colectivo, incluyendo ascensores.

Asimismo, el artículo menciona que se deberán habilitar, en los patios o espacios al aire libre, lugares especiales para fumadores en ciertos casos.

Si tienes alguna duda adicional, no dudes en preguntar. Te recomiendo revisar el reglamento RIOHS para más información.",2025-01-03 13:51:26
el reglamento dice algo referente a los horarios?,"¡Hola! Sí, el reglamento menciona lo siguiente sobre los horarios: 

""Cumplir puntualmente con el horario establecido de jornada contractual. Los atrasos reiterados constituirán falta grave a las obligaciones del contrato y facultarán a la Empresa para adoptar las medidas disciplinarias pertinentes, incluida la terminación del contrato de trabajo.""

Además, se establece que ""los trabajadores que deban registrar asistencia, deberán hacerlo personal e indelegablemente, a la hora de ingreso y salida de sus labores establecida en su contrato de trabajo.""

Si tienes alguna otra duda, no dudes en preguntar. Te recomiendo revisar el reglamento RIOHS para más detalles.",2025-01-03 14:53:55
Hola,"¡Hola! ¿Cómo puedo ayudarte hoy? Si tienes alguna pregunta sobre el reglamento interno de orden, higiene y seguridad, estaré encantado de responderte. Te recomiendo revisar el reglamento RIOHS para obtener información detallada. ¿Te queda alguna duda?",2025-01-03 15:10:31
"Si, quiero saber acerca del reglamento, cuales son los puntos mas importantes?","¡Hola! Gracias por tu consulta. Según el Reglamento Interno de Orden, Higiene y Seguridad (RIOHS), algunos de los puntos más importantes incluyen:

1. **Compromiso de los trabajadores**: Todos los trabajadores deben conocer y aceptar las obligaciones y prohibiciones impuestas en el marco de la aplicación del MPD, así como abstenerse de realizar actividades que impliquen delitos según las leyes pertinentes.

2. **Higiene y Seguridad**: El reglamento establece disposiciones generales, obligaciones, prohibiciones y sanciones en materia de higiene y seguridad, en cumplimiento con la Ley N°16.744.

3. **Acoso Laboral y Sexual**: Se incluye un Protocolo de Prevención de Acoso Laboral, Sexual y Violencia en el Trabajo, así como un procedimiento de denuncia, investigación y sanción de dichas conductas, conforme a la Ley 21.643.

4. **Ambiente de Trabajo**: La empresa se compromete a proporcionar un ambiente de trabajo seguro, inclusivo y respetuoso, promoviendo la cooperación de los trabajadores para el cumplimiento de las normas.

Te recomiendo revisar el reglamento RIOHS para obtener información más detallada. ¿Te queda alguna duda?",2025-01-03 15:11:10
Hola!,¡Hola! ¿En qué puedo ayudarte hoy? Te recomiendo revisar el reglamento RIOHS para obtener información detallada. ¿Tienes alguna duda específica?,2025-01-03 15:12:40
"Si, quisiera saber que se dice el reglamento acerca del acoso laboral","El reglamento establece que Comercial de Valores Inversiones SpA está comprometida en proporcionar un ambiente de trabajo seguro, inclusivo y respetuoso para todos los trabajadores (as). Se reconoce la importancia crítica de abordar eficazmente cualquier forma de acoso laboral, acoso sexual o violencia en el trabajo, siendo esencial que todos quienes laboren en la Empresa se sientan apoyados y seguros al reportar estas conductas inapropiadas.

El procedimiento de denuncia está diseñado para asegurar que todas las denuncias sean manejadas con seriedad, confidencialidad y profesionalismo. El objetivo es no solo resolver los problemas de manera efectiva, sino también prevenir la ocurrencia de futuros incidentes.

Además, se establece que las personas trabajadoras tienen el derecho a denunciar las conductas de acoso y violencia al personal designado para ello y a cooperar en la investigación de casos de acoso o violencia cuando les sea requerido, manteniendo la confidencialidad de la información.

Te recomiendo revisar el reglamento RIOHS para obtener información más detallada. ¿Te queda alguna duda?",2025-01-03 15:13:20
Hola!,"¡Hola! ¿En qué puedo ayudarte hoy? Si tienes alguna pregunta sobre el reglamento interno, estaré encantado de responderte. Te recomiendo revisar el reglamento RIOHS para obtener información detallada. ¿Te queda alguna duda?",2025-01-03 15:15:07
Quisiera saber que dice el reglamento acerca del acoso laboral,"El reglamento establece que la empresa está comprometida en proporcionar un ambiente de trabajo seguro, inclusivo y respetuoso para todos los trabajadores. Se reconoce la importancia crítica de abordar eficazmente cualquier forma de acoso laboral, acoso sexual o violencia en el trabajo. El procedimiento de denuncia está diseñado para asegurar que todas las denuncias sean manejadas con seriedad, confidencialidad y profesionalismo, con el objetivo de resolver los problemas de manera efectiva y prevenir la ocurrencia de futuros incidentes.

Además, se menciona que los trabajadores tienen el derecho a denunciar las conductas de acoso y violencia al personal designado para ello y a cooperar en la investigación de casos de acoso o violencia cuando se les requiera, manteniendo la confidencialidad de la información.

Te recomiendo revisar el reglamento interno de orden, higiene y seguridad para obtener más detalles. ¿Te queda alguna duda?",2025-01-03 15:15:28
